Symbol,Trade DATE,NOCP
AAPL,5/9/19,200.72
AAPL,5/8/19,202.9
AAPL,5/7/19,202.86
AAPL,5/6/19,208.48
AAPL,5/3/19,211.75
AAPL,5/2/19,209.15
AAPL,5/1/19,210.52
AAPL,4/30/19,200.67
AAPL,4/29/19,204.61
AAPL,4/26/19,204.3
AAPL,4/25/19,205.28
AAPL,4/24/19,207.16
AAPL,4/23/19,207.48
AAPL,4/22/19,204.53
AAPL,4/18/19,203.86
AAPL,4/17/19,203.13
AAPL,4/16/19,199.25
AAPL,4/15/19,199.23
AAPL,4/12/19,198.87
AAPL,4/11/19,198.95
AAPL,4/10/19,200.62
AAPL,4/9/19,199.5
AAPL,4/8/19,200.1
AAPL,4/5/19,197
AAPL,4/4/19,195.69
AAPL,4/3/19,195.35
AAPL,4/2/19,194.02
AAPL,4/1/19,191.24
AAPL,3/29/19,189.95
AAPL,3/28/19,188.72
AAPL,3/27/19,188.47
AAPL,3/26/19,186.79
AAPL,3/25/19,188.74
AAPL,3/22/19,191.05
AAPL,3/21/19,195.09
AAPL,3/20/19,188.16
AAPL,3/19/19,186.53
AAPL,3/18/19,188.02
AAPL,3/15/19,186.12
AAPL,3/14/19,183.73
AAPL,3/13/19,181.71
AAPL,3/12/19,180.91
AAPL,3/11/19,178.9
AAPL,3/8/19,172.91
AAPL,3/7/19,172.5
AAPL,3/6/19,174.52
AAPL,3/5/19,175.53
AAPL,3/4/19,175.85
AAPL,3/1/19,174.97
AAPL,2/28/19,173.15
AAPL,2/27/19,174.87
AAPL,2/26/19,174.33
AAPL,2/25/19,174.23
AAPL,2/22/19,172.97
AAPL,2/21/19,171.06
AAPL,2/20/19,172.03
AAPL,2/19/19,170.93
AAPL,2/15/19,170.42
AAPL,2/14/19,170.8
AAPL,2/13/19,170.18
AAPL,2/12/19,170.89
AAPL,2/11/19,169.43
AAPL,2/8/19,170.41
AAPL,2/7/19,170.94
AAPL,2/6/19,174.24
AAPL,2/5/19,174.18
AAPL,2/4/19,171.25
AAPL,2/1/19,166.52
AAPL,1/31/19,166.44
AAPL,1/30/19,165.25
AAPL,1/29/19,154.68
AAPL,1/28/19,156.3
AAPL,1/25/19,157.76
AAPL,1/24/19,152.7
AAPL,1/23/19,153.92
AAPL,1/22/19,153.3
AAPL,1/18/19,156.82
AAPL,1/17/19,155.86
AAPL,1/16/19,154.94
AAPL,1/15/19,153.07
AAPL,1/14/19,150
AAPL,1/11/19,152.29
AAPL,1/10/19,153.8
AAPL,1/9/19,153.31
AAPL,1/8/19,150.75
AAPL,1/7/19,147.93
AAPL,1/4/19,148.26
AAPL,1/3/19,142.19
AAPL,1/2/19,157.92
AAPL,12/31/18,157.74
AAPL,12/28/18,156.23
AAPL,12/27/18,156.15
AAPL,12/26/18,157.17
AAPL,12/24/18,146.83
AAPL,12/21/18,150.73
AAPL,12/20/18,156.83
AAPL,12/19/18,160.89
AAPL,12/18/18,166.07
AAPL,12/17/18,163.94
AAPL,12/14/18,165.48
AAPL,12/13/18,170.95
AAPL,12/12/18,169.1
AAPL,12/11/18,168.63
AAPL,12/10/18,169.6
AAPL,12/7/18,168.49
AAPL,12/6/18,174.72
AAPL,12/4/18,176.69
AAPL,12/3/18,184.82
AAPL,11/30/18,178.58
AAPL,11/29/18,179.55
AAPL,11/28/18,180.94
AAPL,11/27/18,174.24
AAPL,11/26/18,174.62
AAPL,11/23/18,172.29
AAPL,11/21/18,176.78
AAPL,11/20/18,176.98
AAPL,11/19/18,185.86
AAPL,11/16/18,193.53
AAPL,11/15/18,191.41
AAPL,11/14/18,186.8
AAPL,11/13/18,192.23
AAPL,11/12/18,194.17
AAPL,11/9/18,204.47
AAPL,11/8/18,208.49
AAPL,11/7/18,209.95
AAPL,11/6/18,203.77
AAPL,11/5/18,201.59
AAPL,11/2/18,207.48
AAPL,11/1/18,222.22
AAPL,10/31/18,218.86
AAPL,10/30/18,213.3
AAPL,10/29/18,212.24
AAPL,10/26/18,216.3
AAPL,10/25/18,219.8
AAPL,10/24/18,215.09
AAPL,10/23/18,222.73
AAPL,10/22/18,220.65
AAPL,10/19/18,219.31
AAPL,10/18/18,216.02
AAPL,10/17/18,221.19
AAPL,10/16/18,222.15
AAPL,10/15/18,217.36
AAPL,10/12/18,222.11
AAPL,10/11/18,214.45
AAPL,10/10/18,216.36
AAPL,10/9/18,226.87
AAPL,10/8/18,223.77
AAPL,10/5/18,224.29
AAPL,10/4/18,227.99
AAPL,10/3/18,232.07
AAPL,10/2/18,229.28
AAPL,10/1/18,227.26
AAPL,9/28/18,225.74
AAPL,9/27/18,224.95
AAPL,9/26/18,220.42
AAPL,9/25/18,222.19
AAPL,9/24/18,220.79
AAPL,9/21/18,217.66
AAPL,9/20/18,220.03
AAPL,9/19/18,218.37
AAPL,9/18/18,218.24
AAPL,9/17/18,217.88
AAPL,9/14/18,223.84
AAPL,9/13/18,226.41
AAPL,9/12/18,221.07
AAPL,9/11/18,223.85
AAPL,9/10/18,218.33
AAPL,9/7/18,221.3
AAPL,9/6/18,223.1
AAPL,9/5/18,226.87
AAPL,9/4/18,228.36
AAPL,8/31/18,227.63
AAPL,8/30/18,225.03
AAPL,8/29/18,222.98
AAPL,8/28/18,219.7
AAPL,8/27/18,217.94
AAPL,8/24/18,216.16
AAPL,8/23/18,215.49
AAPL,8/22/18,215.05
AAPL,8/21/18,215.04
AAPL,8/20/18,215.46
AAPL,8/17/18,217.58
AAPL,8/16/18,213.32
AAPL,8/15/18,210.24
AAPL,8/14/18,209.75
AAPL,8/13/18,208.87
AAPL,8/10/18,207.53
AAPL,8/9/18,208.88
AAPL,8/8/18,207.25
AAPL,8/7/18,207.11
AAPL,8/6/18,209.07
AAPL,8/3/18,207.99
AAPL,8/2/18,207.39
AAPL,8/1/18,201.5
AAPL,7/31/18,190.29
AAPL,7/30/18,189.91
AAPL,7/27/18,190.98
AAPL,7/26/18,194.21
AAPL,7/25/18,194.82
AAPL,7/24/18,193
AAPL,7/23/18,191.61
AAPL,7/20/18,191.44
AAPL,7/19/18,191.88
AAPL,7/18/18,190.4
AAPL,7/17/18,191.45
AAPL,7/16/18,190.91
AAPL,7/13/18,191.33
AAPL,7/12/18,191.03
AAPL,7/11/18,187.88
AAPL,7/10/18,190.35
AAPL,7/9/18,190.58
AAPL,7/6/18,187.97
AAPL,7/5/18,185.4
AAPL,7/3/18,183.92
AAPL,7/2/18,187.18
AAPL,6/29/18,185.11
AAPL,6/28/18,185.5
AAPL,6/27/18,184.16
AAPL,6/26/18,184.43
AAPL,6/25/18,182.17
AAPL,6/22/18,184.92
AAPL,6/21/18,185.46
AAPL,6/20/18,186.5
AAPL,6/19/18,185.69
AAPL,6/18/18,188.74
AAPL,6/15/18,188.84
AAPL,6/14/18,190.8
AAPL,6/13/18,190.7
AAPL,6/12/18,192.28
AAPL,6/11/18,191.23
AAPL,6/8/18,191.7
AAPL,6/7/18,193.46
AAPL,6/6/18,193.98
AAPL,6/5/18,193.31
AAPL,6/4/18,191.83
AAPL,6/1/18,190.24
AAPL,5/31/18,186.87
AAPL,5/30/18,187.5
AAPL,5/29/18,187.9
AAPL,5/25/18,188.58
AAPL,5/24/18,188.15
AAPL,5/23/18,188.36
AAPL,5/22/18,187.16
AAPL,5/21/18,187.63
AAPL,5/18/18,186.31
AAPL,5/17/18,186.99
AAPL,5/16/18,188.18
AAPL,5/15/18,186.44
AAPL,5/14/18,188.15
AAPL,5/11/18,188.59